"Power","Coefficient"
"0","1.3856137029254092e-06"
"1","-1.9552012566275381e-17"
"2","-0.0017704429395118083"
"3","2.1967372848855078e-17"
"4","7.663948471990703e-05"
"5","-3.1851154056922264e-18"
"6","-3.0982013721647031e-07"
"7","1.9956796694458447e-19"
"8","2.9280091852780502e-09"
"9","-6.5894528290861448e-21"
"10","-4.7509320999815747e-11"
"11","1.2563247732443371e-22"
"12","6.6828714054333342e-13"
"13","-1.4304948932187419e-24"
"14","-6.283552807862809e-15"
"15","9.5888537766472675e-27"
"16","3.6067446870312136e-17"
"17","-3.4868027867830316e-29"
"18","-1.140394529034955e-19"
"19","5.3004329294514837e-32"
"20","1.5203266349881066e-22"

"Q [amu^1/2 A]","dU(Q) [eV]","dU(Q)_Fit [eV]","d_Fit [eV]","dU(Q) [meV]","dU(Q)_Fit [meV]","d_Fit [meV]"
"-12.5","0.9728149999999971","0.97281584593149728","8.4593150018186236e-07","972.8149999999971","972.81584593149728","0.00084593150018186236"
"-12.25","0.90096400000000187","0.90096038129562972","-3.6187043721547241e-06","900.96400000000187","900.96038129562976","-0.0036187043721547241"
"-12.0","0.8324659999999966","0.83246977415908818","3.774159091585183e-06","832.4659999999966","832.46977415908816","0.003774159091585183"
"-11.75","0.76728299999999894","0.76728568738812564","2.6873881266986643e-06","767.28299999999899","767.28568738812567","0.0026873881266986643"
"-11.5","0.70536599999999794","0.70536064113979124","-5.3588602066945157e-06","705.36599999999794","705.36064113979126","-0.0053588602066945157"
"-11.25","0.64664299999999741","0.64664418812371138","1.1881237139688139e-06","646.64299999999741","646.64418812371139","0.0011881237139688139"
"-11.0","0.59107999999999816","0.59107923296627318","-7.6703372497988198e-07","591.07999999999811","591.07923296627314","-0.00076703372497988198"
"-10.75","0.53860300000000183","0.53860252535317965","-4.7464682217945864e-07","538.60300000000188","538.60252535317966","-0.00047464682217945864"
"-10.5","0.48914500000000061","0.48914629326054754","1.2932605469306857e-06","489.14500000000061","489.14629326054757","0.0012932605469306857"
"-10.25","0.44263800000000231","0.44263969032973355","1.6903297312409471e-06","442.63800000000231","442.63969032973353","0.0016903297312409471"
"-10.0","0.3990089999999995","0.39900965208132927","6.5208132976612987e-07","399.0089999999995","399.00965208132925","0.00065208132976612987"
"-9.75","0.35818299999999681","0.35818119403397541","-1.8059660213953777e-06","358.18299999999681","358.18119403397543","-0.0018059660213953777"
"-9.5","0.32007300000000072","0.32007734534829102","4.3453482903021978e-06","320.07300000000072","320.07734534829103","0.0043453482903021978"
"-9.25","0.28461999999999676","0.28461892663311417","-1.0733668825979592e-06","284.61999999999676","284.61892663311414","-0.0010733668825979592"
"-9.0","0.25172899999999743","0.25172433159222007","-4.6684077773528898e-06","251.72899999999743","251.72433159222007","-0.0046684077773528898"
"-8.75","0.22131799999999657","0.22130940617844022","-8.5938215563519105e-06","221.31799999999657","221.30940617844021","-0.0085938215563519105"
"-8.5","0.19328499999999593","0.19328745997150745","2.4599715115203313e-06","193.28499999999593","193.28745997150745","0.0024599715115203313"
"-8.25","0.16756600000000077","0.16756940241965609","3.4024196553239516e-06","167.56600000000077","167.56940241965609","0.0034024196553239516"
"-8.0","0.1440589999999986","0.14406397285941638","4.9728594177789187e-06","144.0589999999986","144.0639728594164","0.0049728594177789187"
"-7.75","0.12266999999999939","0.12267802502576247","8.0250257630809507e-06","122.66999999999939","122.67802502576247","0.0080250257630809507"
"-7.5","0.10330499999999887","0.10331682955815899","1.1829558160120213e-05","103.30499999999887","103.31682955815899","0.011829558160120213"
"-7.25","0.085900999999999783","0.085884367137916723","-1.6632862083060251e-05","85.900999999999783","85.884367137916726","-0.016632862083060251"
"-7.0","0.070292999999999495","0.070283596410663687","-9.4035893358074274e-06","70.292999999999495","70.283596410663691","-0.0094035893358074274"
"-6.75","0.056424999999997283","0.056416691871822876","-8.3081281744071256e-06","56.424999999997283","56.416691871822877","-0.0083081281744071256"
"-6.5","0.044179999999997221","0.044185255648574326","5.2556485771043659e-06","44.179999999997221","44.185255648574326","0.0052556485771043659"
"-6.25","0.033485999999996352","0.033490512797473476","4.5127974771241863e-06","33.485999999996352","33.490512797473478","0.0045127974771241863"
"-6.0","0.024229999999995755","0.024233502301712524","3.5023017167686021e-06","24.229999999995755","24.233502301712523","0.0035023017167686021"
"-5.75","0.016312999999996691","0.016315275849493882","2.2758494971908405e-06","16.312999999996691","16.315275849493883","0.0022758494971908405"
"-5.5","0.009636000000000422","0.0096371144338122175","1.1144338117954899e-06","9.636000000000422","9.6371144338122168","0.0011144338117954899"
"-5.25","0.0041000000000011028","0.004100769647545268","7.6964754416528058e-07","4.1000000000011028","4.1007696475452677","0.00076964754416528058"
"-5.0","-0.0003910000000004743","-0.00039126698700533773","-2.6698700486343322e-07","-0.3910000000004743","-0.39126698700533774","-0.00026698700486343322"
"-4.75","-0.0039349999999984675","-0.0039354666090190048","-4.6660902053730774e-07","-3.9349999999984675","-3.9354666090190049","-0.00046660902053730774"
"-4.5","-0.0066260000000042396","-0.0066269401230502076","-9.4012304596800128e-07","-6.6260000000042396","-6.6269401230502076","-0.00094012304596800128"
"-4.25","-0.0085570000000032564","-0.0085590941755636675","-2.0941755604110546e-06","-8.5570000000032564","-8.5590941755636667","-0.0020941755604110546"
"-4.0","-0.0098219999999997754","-0.009823271227760293","-1.2712277605176486e-06","-9.8219999999997754","-9.8232712277602925","-0.0012712277605176486"
"-3.75","-0.010507000000004041","-0.010508379019980337","-1.3790199762959282e-06","-10.507000000004041","-10.508379019980337","-0.0013790199762959282"
"-3.5","-0.010699000000002457","-0.010700514208736635","-1.514208734178582e-06","-10.699000000002457","-10.700514208736635","-0.001514208734178582"
"-3.25","-0.010483000000000686","-0.010482584110295873","4.1588970481343246e-07","-10.483000000000686","-10.482584110295873","0.00041588970481343246"
"-3.0","-0.0099340000000012196","-0.0099339295591707073","7.0440830512302766e-08","-9.9340000000012196","-9.9339295591707071","7.0440830512302766e-05"
"-2.75","-0.0091310000000035529","-0.0091299511054382266","1.0488945653263498e-06","-9.1310000000035529","-9.1299511054382272","0.0010488945653263498"
"-2.5","-0.0081449999999989586","-0.0081417402905091668","3.2597094897918177e-06","-8.1449999999989586","-8.1417402905091674","0.0032597094897918177"
"-2.25","-0.0070389999999989072","-0.0070357176417061105","3.2823582927967582e-06","-7.0389999999989072","-7.0357176417061105","0.0032823582927967582"
"-2.0","-0.0058790000000001896","-0.0058732793201126","5.7206798875896608e-06","-5.8790000000001896","-5.8732793201125997","0.0057206798875896608"
"-1.75","-0.0047050000000012915","-0.004710454982966481","-5.4549829651895018e-06","-4.7050000000012915","-4.710454982966481","-0.0054549829651895018"
"-1.5","-0.0035930000000021778","-0.0035975802668615831","-4.5802668594053554e-06","-3.5930000000021778","-3.5975802668615833","-0.0045802668594053554"
"-1.25","-0.0025759999999976912","-0.0025789882129096308","-2.9882129119395903e-06","-2.5759999999976912","-2.5789882129096307","-0.0029882129119395903"
"-1.0","-0.0016919999999984725","-0.001692724780064288","-7.2478006581545157e-07","-1.6919999999984725","-1.6927247800642879","-0.00072478006581545157"
"-0.75","-0.00097000000000235787","-0.00097029417866125974","-2.9417865890187574e-07","-0.97000000000235787","-0.97029417866125978","-0.00029417865890187574"
"-0.5","-0.00043800000000260297","-0.00043643998292836652","1.5600170742364528e-06","-0.43800000000260297","-0.4364399829283665","0.0015600170742364528"
"-0.25","-0.00011100000000396903","-0.00010896777262442025","2.03222737954878e-06","-0.11100000000396903","-0.10896777262442026","0.0020322273795487802"
"0.0","0.0","1.3856137029254092e-06","1.3856137029254092e-06","0.0","0.0013856137029254092","0.0013856137029254092"
"0.25","-0.00011100000000396903","-0.00010896777262442936","2.0322273795396728e-06","-0.11100000000396903","-0.10896777262442936","0.0020322273795396729"
"0.5","-0.00043800000000260297","-0.00043643998292838078","1.5600170742221956e-06","-0.43800000000260297","-0.43643998292838077","0.0015600170742221956"
"0.75","-0.00097000000000235787","-0.00097029417866127199","-2.9417865891412723e-07","-0.97000000000235787","-0.97029417866127199","-0.00029417865891412723"
"1.0","-0.0016919999999984725","-0.001692724780064289","-7.2478006581653577e-07","-1.6919999999984725","-1.6927247800642891","-0.00072478006581653577"
"1.25","-0.0025759999999976912","-0.0025789882129096113","-2.9882129119200747e-06","-2.5759999999976912","-2.5789882129096111","-0.0029882129119200747"
"1.5","-0.0035930000000021778","-0.0035975802668615354","-4.5802668593576505e-06","-3.5930000000021778","-3.5975802668615353","-0.0045802668593576505"
"1.75","-0.0047050000000012915","-0.0047104549829664003","-5.4549829651088372e-06","-4.7050000000012915","-4.7104549829664002","-0.0054549829651088372"
"2.0","-0.0058790000000001896","-0.0058732793201124855","5.7206798877041526e-06","-5.8790000000001896","-5.8732793201124851","0.0057206798877041526"
"2.25","-0.0070389999999989072","-0.0070357176417059665","3.2823582929407402e-06","-7.0389999999989072","-7.0357176417059666","0.0032823582929407402"
"2.5","-0.0081449999999989586","-0.0081417402905090003","3.2597094899583512e-06","-8.1449999999989586","-8.1417402905090004","0.0032597094899583512"
"2.75","-0.0091310000000035529","-0.0091299511054380531","1.0488945654998222e-06","-9.1310000000035529","-9.1299511054380531","0.0010488945654998222"
"3.0","-0.0099340000000012196","-0.0099339295591705356","7.044083068404039e-08","-9.9340000000012196","-9.9339295591705348","7.044083068404039e-05"
"3.25","-0.010483000000000686","-0.010482584110295711","4.1588970497476174e-07","-10.483000000000686","-10.482584110295711","0.00041588970497476174"
"3.5","-0.010699000000002457","-0.010700514208736496","-1.5142087340398042e-06","-10.699000000002457","-10.700514208736497","-0.0015142087340398042"
"3.75","-0.010507000000004041","-0.010508379019980221","-1.3790199761797017e-06","-10.507000000004041","-10.50837901998022","-0.0013790199761797017"
"4.0","-0.0098219999999997754","-0.0098232712277601959","-1.2712277604205041e-06","-9.8219999999997754","-9.8232712277601966","-0.0012712277604205041"
"4.25","-0.0085570000000032564","-0.0085590941755635825","-2.0941755603260531e-06","-8.5570000000032564","-8.5590941755635832","-0.0020941755603260531"
"4.5","-0.0066260000000042396","-0.0066269401230501278","-9.40123045888204e-07","-6.6260000000042396","-6.6269401230501277","-0.000940123045888204"
"4.75","-0.0039349999999984675","-0.0039354666090189016","-4.6660902043409169e-07","-3.9349999999984675","-3.9354666090189014","-0.00046660902043409169"
"5.0","-0.0003910000000004743","-0.0003912669870051918","-2.6698700471749961e-07","-0.3910000000004743","-0.3912669870051918","-0.00026698700471749961"
"5.25","0.0041000000000011028","0.004100769647545458","7.696475443552328e-07","4.1000000000011028","4.1007696475454578","0.0007696475443552328"
"5.5","0.009636000000000422","0.0096371144338124621","1.114433812040086e-06","9.636000000000422","9.6371144338124619","0.001114433812040086"
"5.75","0.016312999999996691","0.016315275849494174","2.2758494974822741e-06","16.312999999996691","16.315275849494174","0.0022758494974822741"
"6.0","0.024229999999995755","0.02423350230171285","3.5023017170947301e-06","24.229999999995755","24.23350230171285","0.0035023017170947301"
"6.25","0.033485999999996352","0.033490512797473837","4.5127974774850088e-06","33.485999999996352","33.490512797473841","0.0045127974774850088"
"6.5","0.044179999999997221","0.044185255648574673","5.2556485774513106e-06","44.179999999997221","44.185255648574675","0.0052556485774513106"
"6.75","0.056424999999997283","0.056416691871823223","-8.3081281740601809e-06","56.424999999997283","56.416691871823225","-0.0083081281740601809"
"7.0","0.070292999999999495","0.070283596410663951","-9.4035893355437494e-06","70.292999999999495","70.283596410663947","-0.0094035893355437494"
"7.25","0.085900999999999783","0.085884367137916917","-1.6632862082865962e-05","85.900999999999783","85.884367137916911","-0.016632862082865962"
"7.5","0.10330499999999887","0.10331682955815918","1.1829558160314502e-05","103.30499999999887","103.31682955815918","0.011829558160314502"
"7.75","0.12266999999999939","0.12267802502576264","8.0250257632474842e-06","122.66999999999939","122.67802502576264","0.0080250257632474842"
"8.0","0.1440589999999986","0.14406397285941655","4.9728594179454522e-06","144.0589999999986","144.06397285941654","0.0049728594179454522"
"8.25","0.16756600000000077","0.16756940241965626","3.4024196554904851e-06","167.56600000000077","167.56940241965626","0.0034024196554904851"
"8.5","0.19328499999999593","0.19328745997150765","2.4599715117146204e-06","193.28499999999593","193.28745997150764","0.0024599715117146204"
"8.75","0.22131799999999657","0.22130940617844047","-8.5938215561021103e-06","221.31799999999657","221.30940617844047","-0.0085938215561021103"
"9.0","0.25172899999999743","0.25172433159222035","-4.6684077770753341e-06","251.72899999999743","251.72433159222035","-0.0046684077770753341"
"9.25","0.28461999999999676","0.28461892663311439","-1.0733668823759146e-06","284.61999999999676","284.61892663311437","-0.0010733668823759146"
"9.5","0.32007300000000072","0.32007734534829108","4.345348290357709e-06","320.07300000000072","320.07734534829109","0.004345348290357709"
"9.75","0.35818299999999681","0.35818119403397547","-1.8059660213398665e-06","358.18299999999681","358.18119403397549","-0.0018059660213398665"
"10.0","0.3990089999999995","0.3990096520813291","6.5208132959959642e-07","399.0089999999995","399.00965208132908","0.00065208132959959642"
"10.25","0.44263800000000231","0.44263969032973327","1.6903297309633913e-06","442.63800000000231","442.6396903297333","0.0016903297309633913"
"10.5","0.48914500000000061","0.48914629326054748","1.2932605468751746e-06","489.14500000000061","489.14629326054751","0.0012932605468751746"
"10.75","0.53860300000000183","0.53860252535317943","-4.7464682240150324e-07","538.60300000000188","538.60252535317943","-0.00047464682240150324"
"11.0","0.59107999999999816","0.59107923296627363","-7.6703372453579277e-07","591.07999999999811","591.07923296627359","-0.00076703372453579277"
"11.25","0.64664299999999741","0.64664418812371161","1.1881237141908585e-06","646.64299999999741","646.64418812371161","0.0011881237141908585"
"11.5","0.70536599999999794","0.70536064113979113","-5.358860206805538e-06","705.36599999999794","705.36064113979114","-0.005358860206805538"
"11.75","0.76728299999999894","0.7672856873881253","2.6873881263655974e-06","767.28299999999899","767.28568738812533","0.0026873881263655974"
"12.0","0.8324659999999966","0.83246977415908741","3.7741590908080269e-06","832.4659999999966","832.46977415908736","0.0037741590908080269"
"12.25","0.90096400000000187","0.9009603812956315","-3.6187043703783672e-06","900.96400000000187","900.96038129563146","-0.0036187043703783672"
"12.5","0.9728149999999971","0.97281584593151382","8.4593151672418543e-07","972.8149999999971","972.81584593151388","0.00084593151672418543"
